epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,879.497,0.62385,0.39409,0.87825,0.99467,1,0.995,0.8669,0.58046,0.34156,0.86732,0.000940855,0.000940855,0.000940855
46,898.419,0.64576,0.40732,0.89052,0.99637,1,0.995,0.88686,0.53412,0.33164,0.85297,0.000924352,0.000924352,0.000924352
47,916.97,0.62792,0.40707,0.88345,0.99591,1,0.995,0.87085,0.54281,0.30843,0.84871,0.000907848,0.000907848,0.000907848
48,935.219,0.61468,0.38937,0.87823,0.9955,1,0.995,0.85346,0.58945,0.33017,0.86517,0.000891345,0.000891345,0.000891345
49,953.395,0.59855,0.39035,0.86505,0.9941,1,0.995,0.87677,0.58126,0.32059,0.86232,0.000874842,0.000874842,0.000874842
50,972.045,0.59942,0.40673,0.87935,0.99557,1,0.995,0.87237,0.54888,0.34573,0.86262,0.000858338,0.000858338,0.000858338
51,990.755,0.62885,0.41928,0.88157,0.99429,1,0.995,0.86939,0.57728,0.32834,0.85952,0.000841835,0.000841835,0.000841835
52,1009.07,0.5944,0.38748,0.86311,0.99581,1,0.995,0.85966,0.58079,0.34072,0.8604,0.000825332,0.000825332,0.000825332
53,1027.28,0.62223,0.40088,0.88872,0.99331,1,0.995,0.86179,0.60623,0.36492,0.86493,0.000808828,0.000808828,0.000808828
54,1045.74,0.58824,0.36629,0.86006,0.99575,1,0.995,0.86108,0.59143,0.42645,0.86149,0.000792325,0.000792325,0.000792325
55,1064.73,0.62339,0.38175,0.88275,0.99136,1,0.995,0.85592,0.57308,0.38987,0.85877,0.000775822,0.000775822,0.000775822
56,1082.77,0.59623,0.40013,0.88163,0.99627,1,0.995,0.87717,0.53168,0.32201,0.85618,0.000759318,0.000759318,0.000759318
57,1101,0.5885,0.37045,0.86325,0.99587,1,0.995,0.87216,0.50809,0.31012,0.84744,0.000742815,0.000742815,0.000742815
58,1119.14,0.58926,0.37509,0.87151,0.99456,1,0.995,0.86495,0.53708,0.3299,0.85558,0.000726312,0.000726312,0.000726312
59,1137.99,0.57991,0.36679,0.8746,0.99567,1,0.995,0.87745,0.51956,0.31227,0.85001,0.000709809,0.000709809,0.000709809
60,1156.68,0.57691,0.3532,0.86716,0.99579,1,0.995,0.86738,0.53435,0.30928,0.85657,0.000693305,0.000693305,0.000693305
61,1174.82,0.59066,0.37597,0.86923,0.99605,1,0.995,0.8718,0.54638,0.31182,0.84777,0.000676802,0.000676802,0.000676802
62,1193.15,0.55638,0.36065,0.84782,0.99344,1,0.995,0.87021,0.53594,0.31226,0.85344,0.000660299,0.000660299,0.000660299
63,1211.8,0.58629,0.36684,0.8698,0.99523,1,0.995,0.86078,0.53541,0.31325,0.84542,0.000643795,0.000643795,0.000643795
64,1230.46,0.58228,0.37039,0.87373,0.99461,1,0.995,0.88885,0.48447,0.28724,0.84187,0.000627292,0.000627292,0.000627292
65,1252.07,0.60159,0.36818,0.8757,0.9923,1,0.995,0.88395,0.52894,0.30205,0.85094,0.000610789,0.000610789,0.000610789
66,1271.05,0.5808,0.38523,0.86569,0.99475,1,0.995,0.87498,0.49942,0.29481,0.83616,0.000594286,0.000594286,0.000594286
67,1290.02,0.56377,0.35258,0.86857,0.99622,1,0.995,0.88695,0.50078,0.28783,0.84103,0.000577782,0.000577782,0.000577782
68,1308.05,0.56228,0.36953,0.85909,0.99639,1,0.995,0.88598,0.5028,0.3025,0.84599,0.000561279,0.000561279,0.000561279
69,1326.28,0.57221,0.35666,0.87786,0.99613,1,0.995,0.88523,0.49913,0.29339,0.83969,0.000544776,0.000544776,0.000544776
70,1344.93,0.57331,0.34539,0.86041,0.99626,1,0.995,0.88011,0.54007,0.31145,0.84637,0.000528272,0.000528272,0.000528272
71,1364.66,0.53437,0.33107,0.85428,0.99619,1,0.995,0.88464,0.52672,0.29414,0.84904,0.000511769,0.000511769,0.000511769
72,1383.53,0.56103,0.35342,0.86407,0.99651,1,0.995,0.8748,0.52434,0.28607,0.85312,0.000495266,0.000495266,0.000495266
73,1402.13,0.56141,0.34578,0.86811,0.99629,1,0.995,0.87591,0.53667,0.30103,0.85109,0.000478762,0.000478762,0.000478762
74,1420.63,0.58295,0.35814,0.85616,0.99618,1,0.995,0.86522,0.55116,0.31499,0.85395,0.000462259,0.000462259,0.000462259
75,1439.92,0.54337,0.35986,0.8528,0.99619,1,0.995,0.88194,0.52875,0.28754,0.83915,0.000445756,0.000445756,0.000445756
76,1459.33,0.56279,0.3265,0.85366,0.99615,1,0.995,0.88696,0.4876,0.27526,0.83584,0.000429253,0.000429253,0.000429253
77,1477.81,0.55912,0.32861,0.85649,0.99627,1,0.995,0.88296,0.52478,0.29514,0.83833,0.000412749,0.000412749,0.000412749
78,1496.53,0.54492,0.32375,0.85689,0.99643,1,0.995,0.88973,0.55416,0.28161,0.84862,0.000396246,0.000396246,0.000396246
79,1515.65,0.53775,0.34182,0.8517,0.99626,1,0.995,0.88148,0.50768,0.26294,0.83873,0.000379743,0.000379743,0.000379743
80,1535.38,0.54754,0.33343,0.85938,0.99239,1,0.995,0.8876,0.5005,0.2784,0.84348,0.000363239,0.000363239,0.000363239
81,1554.12,0.53935,0.32248,0.86286,0.99598,1,0.995,0.89182,0.52301,0.28224,0.83853,0.000346736,0.000346736,0.000346736
82,1575.98,0.51145,0.35048,0.83709,0.99651,1,0.995,0.88419,0.50021,0.26849,0.83536,0.000330233,0.000330233,0.000330233
83,1595.23,0.53815,0.3261,0.84854,0.99568,1,0.995,0.8962,0.47442,0.27624,0.83043,0.000313729,0.000313729,0.000313729
84,1614.61,0.52347,0.30926,0.84705,0.99631,1,0.995,0.90023,0.46991,0.26215,0.83193,0.000297226,0.000297226,0.000297226
85,1635.22,0.51981,0.32905,0.84733,0.996,1,0.995,0.8932,0.49074,0.27139,0.83542,0.000280723,0.000280723,0.000280723
86,1653.82,0.5214,0.31635,0.85205,0.99613,1,0.995,0.8898,0.48518,0.27503,0.83212,0.00026422,0.00026422,0.00026422
87,1673.1,0.51187,0.30206,0.85167,0.99652,1,0.995,0.89583,0.47541,0.27156,0.82801,0.000247716,0.000247716,0.000247716
88,1691.54,0.51399,0.30172,0.84336,0.99655,1,0.995,0.90414,0.46972,0.26268,0.82778,0.000231213,0.000231213,0.000231213
89,1710.29,0.52063,0.30167,0.85286,0.99664,1,0.995,0.89479,0.46004,0.25361,0.83273,0.00021471,0.00021471,0.00021471
90,1728.58,0.50494,0.33051,0.84563,0.99542,1,0.995,0.8943,0.46746,0.25531,0.83155,0.000198206,0.000198206,0.000198206
91,1750.03,0.48039,0.29575,0.81834,0.99543,1,0.995,0.88022,0.50577,0.27445,0.83652,0.000181703,0.000181703,0.000181703
92,1768.11,0.50568,0.30234,0.83305,0.99626,1,0.995,0.89361,0.48135,0.25626,0.83306,0.0001652,0.0001652,0.0001652
93,1786.43,0.48726,0.29087,0.82032,0.99653,1,0.995,0.87957,0.46555,0.25942,0.8339,0.000148696,0.000148696,0.000148696
94,1804.53,0.48897,0.28395,0.82882,0.99637,1,0.995,0.88365,0.48422,0.24509,0.83468,0.000132193,0.000132193,0.000132193
95,1823.25,0.474,0.29226,0.83938,0.99604,1,0.995,0.88661,0.50126,0.25494,0.83574,0.00011569,0.00011569,0.00011569
96,1841.99,0.48952,0.2814,0.83298,0.99638,1,0.995,0.88434,0.49985,0.25462,0.83392,9.91865e-05,9.91865e-05,9.91865e-05
97,1860.17,0.48364,0.28836,0.84038,0.99646,1,0.995,0.89161,0.50377,0.24694,0.83363,8.26832e-05,8.26832e-05,8.26832e-05
98,1878.24,0.47103,0.28807,0.83731,0.99671,1,0.995,0.89821,0.51243,0.25234,0.83499,6.61799e-05,6.61799e-05,6.61799e-05
99,1896.42,0.46797,0.26779,0.82749,0.99655,1,0.995,0.90038,0.5106,0.25517,0.83529,4.96766e-05,4.96766e-05,4.96766e-05
100,1915.51,0.45755,0.28208,0.81867,0.99666,1,0.995,0.89762,0.49867,0.25533,0.83301,3.31733e-05,3.31733e-05,3.31733e-05
